PLAYER_NAME,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,JERSEY_NUMBER,POSITION,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,ROSTER_STATUS,PTS,REB,AST,STATS_TIMEFRAME,FROM_YEAR,TO_YEAR
Russ Schoene,Oklahoma City,Thunder,OKC,40,F,82.0,210.0,Tennessee-Chattanooga,USA,1982.0,2.0,45.0,0.0,5.1,2.5,0.6,Career,1982,1988
Admiral Schofield,Orlando,Magic,ORL,25,F,77.0,241.0,Tennessee,United Kingdom,2019.0,2.0,42.0,0.0,3.3,1.6,0.6,Career,2019,2023
Dave Scholz,Philadelphia,76ers,PHI,25,F,80.0,220.0,Illinois,USA,1969.0,2.0,56.0,0.0,2.0,0.0,0.0,Career,1969,1969
Detlef Schrempf,Oklahoma City,Thunder,OKC,12,F,82.0,235.0,Washington,USA,1985.0,1.0,8.0,0.0,13.9,6.2,3.4,Career,1985,2000
Dennis Schröder,Detroit,Pistons,DET,17,G,73.0,175.0,Braunschweig,Germany,2013.0,1.0,17.0,1.0,13.1,2.6,5.4,Season,2013,2024
Howie Schultz,Los Angeles,Lakers,LAL,15,F,78.0,200.0,Hamline,USA,,,0.0,0.0,5.3,3.1,1.7,Career,1949,1952
John Schweitz,Oklahoma City,Thunder,OKC,35,G,78.0,210.0,Richmond,USA,1982.0,2.0,138.0,0.0,2.6,1.0,0.8,Career,1984,1986
Luis Scola,Houston,Rockets,HOU,4,F,81.0,240.0,Tau Ceramica,Argentina,2002.0,2.0,55.0,0.0,12.0,6.7,1.6,Career,2007,2016
Alvin Scott,Phoenix,Suns,PHX,14,F,79.0,185.0,Oral Roberts,USA,1977.0,2.0,136.0,0.0,4.9,3.2,1.4,Career,1977,1984
Brent Scott,Indiana,Pacers,IND,55,F-C,82.0,250.0,Rice,USA,,,0.0,0.0,1.2,0.6,0.2,Career,1996,1996
Byron Scott,Los Angeles,Lakers,LAL,12,G,76.0,205.0,Arizona State,USA,1983.0,1.0,4.0,0.0,14.1,2.8,2.5,Career,1983,1996
Charlie Scott,Phoenix,Suns,PHX,11,G,77.0,175.0,North Carolina,USA,1970.0,2.0,106.0,0.0,17.9,3.6,4.8,Career,1971,1979
Dennis Scott,Orlando,Magic,ORL,9,F,80.0,229.0,Georgia Tech,USA,1990.0,1.0,4.0,0.0,12.9,2.8,2.1,Career,1990,1999
James Scott,Miami,Heat,MIA,32,F,78.0,180.0,St. John's (NY),USA,,,0.0,0.0,0.1,0.8,0.4,Career,1996,1996
